,from_person,to_person,timestamp,connection_id,forward
14037,A03587,A01723,2024-08-30 13:13:03.979,A03587_A01723,False
14038,A00771,A03253,2024-08-30 13:13:16.544,A00771_A03253,True
14039,A03253,A00771,2024-08-30 13:13:16.544,A03253_A00771,False
14040,A01901,A00980,2024-08-30 13:14:03.200,A01901_A00980,True
14041,A00980,A01901,2024-08-30 13:14:03.200,A00980_A01901,False
14042,A02089,A01512,2024-08-30 13:16:41.938,A02089_A01512,True
14043,A01512,A02089,2024-08-30 13:16:41.938,A01512_A02089,False
14044,A02812,A02205,2024-08-30 13:16:50.286,A02812_A02205,True
14045,A02205,A02812,2024-08-30 13:16:50.286,A02205_A02812,False
14046,A00223,A02317,2024-08-30 13:16:52.655,A00223_A02317,True
14047,A02317,A00223,2024-08-30 13:16:52.655,A02317_A00223,False
14048,A03121,A00892,2024-08-30 13:17:14.095,A03121_A00892,True
14049,A00892,A03121,2024-08-30 13:17:14.095,A00892_A03121,False
14050,A00212,A00853,2024-08-30 13:17:17.668,A00212_A00853,True
14051,A00853,A00212,2024-08-30 13:17:17.668,A00853_A00212,False
14052,A00605,A02812,2024-08-30 13:17:44.816,A00605_A02812,True
14053,A02812,A00605,2024-08-30 13:17:44.816,A02812_A00605,False
14054,A02352,A02155,2024-08-30 13:17:55.508,A02352_A02155,True
14055,A02155,A02352,2024-08-30 13:17:55.508,A02155_A02352,False
14056,A00518,A00545,2024-08-30 13:18:23.066,A00518_A00545,True
14057,A00545,A00518,2024-08-30 13:18:23.066,A00545_A00518,False
14058,A00065,A01954,2024-08-30 13:20:05.447,A00065_A01954,True
14059,A01954,A00065,2024-08-30 13:20:05.447,A01954_A00065,False
14060,A02958,A03372,2024-08-30 13:20:10.203,A02958_A03372,True
14061,A03372,A02958,2024-08-30 13:20:10.203,A03372_A02958,False
14062,A02968,A00607,2024-08-30 13:20:16.411,A02968_A00607,True
14063,A00607,A02968,2024-08-30 13:20:16.411,A00607_A02968,False
14064,A00065,A03372,2024-08-30 13:20:18.094,A00065_A03372,True
14065,A03372,A00065,2024-08-30 13:20:18.094,A03372_A00065,False
14066,A02958,A01954,2024-08-30 13:20:23.251,A02958_A01954,True
14067,A01954,A02958,2024-08-30 13:20:23.251,A01954_A02958,False
14068,A02892,A02714,2024-08-30 13:20:29.472,A02892_A02714,True
14069,A02714,A02892,2024-08-30 13:20:29.472,A02714_A02892,False
14070,A00977,A02673,2024-08-30 13:20:33.231,A00977_A02673,True
14071,A02673,A00977,2024-08-30 13:20:33.231,A02673_A00977,False
14072,A01477,A00672,2024-08-30 13:20:54.563,A01477_A00672,True
14073,A00672,A01477,2024-08-30 13:20:54.563,A00672_A01477,False
14074,A00807,A00866,2024-08-30 13:21:05.272,A00807_A00866,True
14075,A00866,A00807,2024-08-30 13:21:05.272,A00866_A00807,False
14076,A00300,A02673,2024-08-30 13:21:06.474,A00300_A02673,True
14077,A02673,A00300,2024-08-30 13:21:06.474,A02673_A00300,False
14078,A01966,A00558,2024-08-30 13:21:32.799,A01966_A00558,True
14079,A00558,A01966,2024-08-30 13:21:32.799,A00558_A01966,False
14080,A01434,A00941,2024-08-30 13:21:46.780,A01434_A00941,True
14081,A00941,A01434,2024-08-30 13:21:46.780,A00941_A01434,False
14082,A02223,A01926,2024-08-30 13:22:11.739,A02223_A01926,True
14083,A01926,A02223,2024-08-30 13:22:11.739,A01926_A02223,False
14084,A01647,A01544,2024-08-30 13:22:16.440,A01647_A01544,True
14085,A01544,A01647,2024-08-30 13:22:16.440,A01544_A01647,False
14086,A03037,A02163,2024-08-30 13:22:18.129,A03037_A02163,True
14087,A02163,A03037,2024-08-30 13:22:18.129,A02163_A03037,False
14088,A01966,A02949,2024-08-30 13:22:25.663,A01966_A02949,True
14089,A02949,A01966,2024-08-30 13:22:25.663,A02949_A01966,False
14090,A00605,A02205,2024-08-30 13:22:28.188,A00605_A02205,True
14091,A02205,A00605,2024-08-30 13:22:28.188,A02205_A00605,False
14092,A01966,A02401,2024-08-30 13:22:54.396,A01966_A02401,True
14093,A02401,A01966,2024-08-30 13:22:54.396,A02401_A01966,False
14094,A01522,A01758,2024-08-30 13:22:59.900,A01522_A01758,True
14095,A01758,A01522,2024-08-30 13:22:59.900,A01758_A01522,False
14096,A01159,A00458,2024-08-30 13:23:10.283,A01159_A00458,True
14097,A00458,A01159,2024-08-30 13:23:10.283,A00458_A01159,False
14098,A01966,A00527,2024-08-30 13:23:23.507,A01966_A00527,True
14099,A00527,A01966,2024-08-30 13:23:23.507,A00527_A01966,False
14100,A02769,A00091,2024-08-30 13:23:43.511,A02769_A00091,True
14101,A00091,A02769,2024-08-30 13:23:43.511,A00091_A02769,False
14102,A02030,A00698,2024-08-30 13:24:42.139,A02030_A00698,True
14103,A00698,A02030,2024-08-30 13:24:42.139,A00698_A02030,False
14104,A02680,A02967,2024-08-30 13:24:47.664,A02680_A02967,True
14105,A02967,A02680,2024-08-30 13:24:47.664,A02967_A02680,False
14106,A02968,A03646,2024-08-30 13:25:29.982,A02968_A03646,True
14107,A03646,A02968,2024-08-30 13:25:29.982,A03646_A02968,False
14108,A00058,A02332,2024-08-30 13:25:52.798,A00058_A02332,True
14109,A02332,A00058,2024-08-30 13:25:52.798,A02332_A00058,False
14110,A01793,A00719,2024-08-30 13:25:54.239,A01793_A00719,True
14111,A00719,A01793,2024-08-30 13:25:54.239,A00719_A01793,False
14112,A02163,A03055,2024-08-30 13:26:02.731,A02163_A03055,True
14113,A03055,A02163,2024-08-30 13:26:02.731,A03055_A02163,False
14114,A02793,A02587,2024-08-30 13:26:02.955,A02793_A02587,True
14115,A02587,A02793,2024-08-30 13:26:02.955,A02587_A02793,False
14116,A00058,A02133,2024-08-30 13:26:05.731,A00058_A02133,True
14117,A02133,A00058,2024-08-30 13:26:05.731,A02133_A00058,False
